PublishTime,ArticleTitle,ArticleAuthor,ArticleSubtitle,ArticleURL,ArticleKeywords,ArticleCategory
"January 29, 2019 at 07:00PM","Venezuela, Alibaba, Climate Change: Your Thursday Briefing",Alisha Haridasani Gupta,Let us help you start your day. |,https://www.nytimes.com/2019/01/30/briefing/venezuela-alibaba-climate-change.html?partner=IFTTT,,Briefing
"January 29, 2019 at 07:00PM",Foxconn Is Reconsidering Plan for Manufacturing in Wisconsin,Natalie Kitroeff And Patricia Cohen,"The Taiwan-based company's intent to build a $10 billion plant with 13,000 jobs was hailed by President Trump. It now sees a shift toward research. |",https://www.nytimes.com/2019/01/30/business/foxconn-factory-wisconsin.html?partner=IFTTT,"Labor and Jobs, Factories and Manufacturing, Foreign Investments",Business
"January 29, 2019 at 07:00PM",Scientists Single Out a Suspect in Starfish Carnage: Warming Oceans,Kendra Pierre-Louis,A new study sheds light on a huge die-off of starfish along the Pacific Coast from Mexico to Alaska. |,https://www.nytimes.com/2019/01/30/climate/starfish-global-warming.html?partner=IFTTT,"Starfish, Viruses, Global Warming, Environment, Greenhouse Gas Emissions",Climate
"January 29, 2019 at 07:00PM","The Messier Brexit Gets, the Better Europe Looks",Steven Erlanger,The British meltdown has muted talk in other countries about quitting the E.U. But that does not mean the populist threat to Europe's cohesion is gone. |,https://www.nytimes.com/2019/01/30/world/europe/european-union-brexit.html?partner=IFTTT,"Politics and Government, Great Britain Withdrawal from EU (Brexit), Referendums",World
"January 30, 2019 at 07:00PM","A Black Legacy, Wrapped Up in Fur",Jasmine Sanders,"As soon as black women could afford to buy mink coats, white society and white women said fur was all wrong.' |",https://www.nytimes.com/2019/01/31/style/fur-black-women-history.html?partner=IFTTT,"Fur, Blacks, Minks (Animals)",Style
"January 30, 2019 at 07:00PM",Trump Says He'll Leave Decision of Whether to Release Special Counsel's Report to Justice Dept.,Maggie Haberman,"â€œI've chosen to stay out of it,â€ the president said in an interview with the website The Daily Caller. |",https://www.nytimes.com/2019/01/31/us/politics/trump-special-counsel-report.html?partner=IFTTT,"Presidential Election of 2016, Russian Interference in 2016 US Elections and Ties to Trump Associates, United States Politics and Government",U.S.
"January 30, 2019 at 07:00PM",On Politics: Trump Calls His Own Intelligence Officials 'NaÃ¯ve',Unknown Author,"President Trump lashed out at U.S. intelligence agencies, putting them in the awkward position of being at odds with the commander in chief over Iran and North Korea. |",https://www.nytimes.com/2019/01/31/us/politics/trump-intelligence-agencies-north-korea.html?partner=IFTTT,United States Politics and Government,U.S.
"January 30, 2019 at 07:00PM",What's on TV Thursday: '30 for 30' and 'The Big Lebowski',Lauren Messman,The ESPN series covers Deion Sanders. And it's the last day for Netflix subscribers to catch â€œThe Big Lebowskiâ€ on that platform. |,https://www.nytimes.com/2019/01/31/arts/television/whats-on-tv-thursday-30-for-30-and-the-big-lebowski.html?partner=IFTTT,"Television, Movies",Arts
"January 30, 2019 at 07:00PM",Word + Quiz: <strong></strong>upstage,The Learning Network,This word has appeared in 100 articles on NYTimes.com in the past year. |,https://www.nytimes.com/2019/01/31/learning/31WODLN.html?partner=IFTTT,,The Learning Network
"January 30, 2019 at 07:00PM",How Much Do You Know About Your Family's History?,Katherine Schulten,How much have your parents or grandparents told you about your family history? What aspects of your family's past would you like to know more about? |,https://www.nytimes.com/2019/01/31/learning/how-much-do-you-know-about-your-familys-history.html?partner=IFTTT,,The Learning Network
"January 30, 2019 at 07:00PM","Another Go for Charles and Di, This Time With Music",Sarah Lyall,"The creators of â€œMemphis,â€ including a longtime member of Bon Jovi, are behind the new show that explores the fallout from a seemingly fairy-tale marriage. |",https://www.nytimes.com/2019/01/31/theater/charles-and-diana-musical.html?partner=IFTTT,Theater,Theater
